"","lat","lng","name","type","elev"
"857",31.3884388886473,-85.9724250003332,"Brown Stagefield Ahp","Heliport",415
"858",31.3936944440703,-85.7515000003647,"Ech Stagefield Ahp","Heliport",268
"859",31.4139777780151,-85.4598500002736,"Goldberg Stagefield Ahp","Heliport",362
"860",31.3589722223443,-85.6205444444588,"Hatch Ahp","Heliport",225
"861",31.1535388891456,-85.7336805557565,"Highbluff Ahp","Heliport",270
"862",31.0936111111801,-85.7879444448289,"Highfalls Stagefield Ahp","Heliport",220
"863",31.4084111108433,-85.6892444443016,"Hooper Stagefield Ahp","Heliport",365
"864",31.3801861110638,-85.5802749995659,"Hunt Ahp","Heliport",263
"865",31.4824305552316,-85.7850638890726,"Molinelli Stagefield Ahp","Heliport",490
"866",31.3388138888703,-86.0917472223929,"Runkle Stagefield Ahp","Heliport",180
"867",31.2876527780892,-86.130061111269,"Skelly Stagefield Ahp","Heliport",220
"868",31.3607944440691,-86.0137305557866,"Stinson Stagefield Ahp","Heliport",379
"869",31.4649527778394,-85.8463361114964,"Tabernacle Stagefield Ahp","Heliport",470
"870",31.1251750002338,-85.9791055555056,"Tac X Stagefield Ahp","Heliport",132
"872",34.0083333333778,-85.9652777775573,"Gadsden Regl Medical Center","Heliport",621
"876",31.0496230555922,-85.8916027774153,"Wiregrass Hospital","Heliport",160
"893",34.4272222220403,-86.9150000000236,"Froberg","Heliport",630
"899",33.3522222221593,-86.7877777777597,"T V Alabama","Heliport",550
"900",34.6884241664558,-86.5888813891559,"Huntsville Field","Heliport",619
"903",34.7209961114695,-86.5808391667776,"The Huntsville Hospital","Heliport",728
"911",33.5159430552895,-87.2566658334636,"Drummond","Heliport",470
"912",33.8434399999058,-87.2338936110798,"Walker Rgnl Medical Center","Heliport",418
"917",30.4072083330858,-87.4418138893263,"Lillian Community","Heliport",70
"928",31.2735036110529,-88.012500555671,"Mc Intosh Community","Heliport",50
"931",30.7115780552007,-88.1077783333936,"Usa Medical Center","Heliport",28
"932",30.6793569443442,-88.2000033330486,"Providence Hospital","Heliport",210
"936",31.4977777777529,-87.3211111111852,"Monroe County Hospital","Heliport",425
"940",32.3774999997649,-86.2983333335592,"Business Center Of Alabama","Heliport",403
"941",32.3275277778218,-86.2765555551781,"Baptist Medical Center","Heliport",252
"946",34.483983888551,-87.286408611448,"Lawrence County Hospital","Heliport",650
"948",33.6773258331929,-86.8649936106633,"Rotor Wing Inc","Heliport",630
"950",34.7462000000723,-87.6764180553523,"Shoals Hospital","Heliport",500
"952",30.2777777775615,-87.5433333332212,"Caribe East","Heliport",7
"953",30.2907777776152,-87.6308333337206,"Wharf Helipad","Heliport",9
"955",33.9297222220288,-86.4947222223712,"St Vincent's Blt","Heliport",810
"957",32.6391666669508,-85.4022222222961,"East Alabama Medical Center","Heliport",749
"961",31.4515577779386,-85.631881666638,"Dale Medical Center","Heliport",390
"965",30.3469111111698,-87.5057500001483,"Perdido Beach Vfd","Heliport",14
"975",33.1573419444422,-85.388837778212,"Randolph County Hospital","Heliport",500
"983",32.7168361108143,-87.7495250004345,"W. M. Thomas Pad","Heliport",165
"985",34.6625000003533,-86.0472222226405,"Jackson County Hospital","Heliport",628
"987",32.4290250003732,-87.0566572218419,"Vaughan Regional Medical Center","Heliport",150
"1004",34.1972272224048,-118.173961667051,"Camp 2","Heliport",1120
"1005",33.6083333329743,-117.70888888931,"Saddleback Memorial Medical Center","Heliport",398
"1006",32.886269444676,-117.225486111265,"Scripps Memorial Hospital La Jolla","Heliport",340
"1007",32.8763888888762,-117.2210277779,"Ucsd Health System East Campus Interim","Heliport",335
"1008",34.2352777780849,-117.154722222176,"M H 15 Heaps Peak Usfs","Heliport",6266
"1010",34.2652777775076,-117.167777777763,"Mountains Community Hospital","Heliport",5318
"1014",39.1050638890537,-122.906652777527,"Sutter Lakeside Hospital","Heliport",1401
"1015",33.8508491668339,-118.133400555356,"L A Co Sheriff Lakewood","Heliport",58
"1016",32.7797727774289,-117.005861110955,"Grossmont Hospital","Heliport",634
"1019",34.6999849996501,-118.059236666883,"Sheriff's","Heliport",2367
"1020",34.6474869446881,-118.145628333171,"Antelope Valley Service Center","Heliport",2522
"1037",37.6990638886192,-121.709741666539,"Pg&E Livermore Training Center","Heliport",572
"1042",38.1224188888299,-121.286891666377,"Lodi Memorial Hospital","Heliport",40
"1047",34.0500138887219,-117.264485833318,"Loma Linda University Medical Center","Heliport",1223
"1049",34.4552644441955,-120.647391944516,"Platform Hermosa","Heliport",152
"1050",34.4691533330239,-120.681837500031,"Platform Harvest","Heliport",178
"1051",34.4949861108101,-120.703227499958,"Platform Hidalgo","Heliport",162
"1054",38.1443630553107,-120.084352499641,"Bald Mountain","Heliport",5760
"1056",33.8072388889344,-118.146178332992,"Kilroy Ac8-Long Beach","Heliport",121
"1057",33.7777958332496,-118.199513055939,"World Trade Center","Heliport",398
"1058",33.8083502778069,-118.187290833305,"Long Beach Memorial Medical Center","Heliport",84
"1059",33.7789063888371,-118.185901389292,"St Mary Medical Center","Heliport",174
"1060",33.7494444442614,-118.187777777681,"Queen Mary","Heliport",14
"1061",33.764739999661,-118.199512777461,"Naa Long Beach Port Helistop","Heliport",15
"1063",34.0639000001918,-118.272574999917,"St Vincent Professional Office Building","Heliport",464
"1064",34.0539005553871,-118.201739166553,"Usc University Hospital","Heliport",476
"1065",34.1833383333054,-118.447582222472,"Van Nuys County Court","Heliport",850
"1066",34.0469552779246,-118.342576666691,"Wilshire Area","Heliport",150
"1067",34.2569472220474,-118.531475277798,"Devonshire Area","Heliport",1012
"1068",34.0522338887658,-118.241185000061,"Parker Center","Heliport",450
"1069",34.0511230557084,-118.242573888915,"Hotel New Otani Los Angeles","Heliport",490
"1070",34.0625091669435,-118.432579444539,"The Wilshire Thayer","Heliport",470
"1071",34.0402902775612,-118.256185277982,"California Mart","Heliport",434
"1072",34.0613888892157,-118.227222222393,"L A Co Mens Sheriffs Cntr Jail","Heliport",352
"1073",34.0433455558465,-118.247018055848,"Lapd Hooper","Heliport",302
"1074",34.0697327777986,-118.292297500302,"United Ca Bank Data Processing Ops","Heliport",367
"1075",34.052789722584,-118.255907222452,"The Westin Bonaventure Hotel","Heliport",679
"1076",34.0514008334395,-118.257018333356,"City National Plaza","Heliport",980
"1077",34.0544561110886,-118.229239444161,"Jay Stephen Hooper Memorial","Heliport",353
"1078",34.0580672222196,-118.235628611008,"Terminal Annex","Heliport",355
"1079",34.0477897219136,-118.254518333598,"City National Bank","Heliport",453
"1080",34.0777883336333,-118.259518610693,"Sunset-Glendale","Heliport",556
"1081",34.0619552774354,-118.2911863885,"Operating Engineers Pension Trust Bldg","Heliport",441
"1082",34.0622336113025,-118.250907222039,"Bank Of America Data Center","Heliport",440
"1083",34.0738983336491,-118.377300000156,"Beverly Center","Heliport",278
"1084",34.0447319441959,-118.444801388695,"Everest & Jennings Helistop Nr 1","Heliport",245
"1085",34.0588980552848,-118.443690832951,"Occidental Petroleum","Heliport",509
"1086",34.0541783336929,-118.242573888915,"Van Nuys","Heliport",360
"1087",34.1266738886597,-118.407023889265,"Engine Co Nr 108","Heliport",1127
"1088",34.1308397218544,-118.490637777846,"Engine Co Nr 109","Heliport",1375
"1089",34.0491786114144,-118.253407221796,"Biltmore Hotel","Heliport",443
"1090",34.0416788886768,-118.271740555748,"Wells Fargo-Cv","Heliport",260
"1091",34.1033424999422,-118.282575555903,"Abc-Tv","Heliport",422
"1092",34.0536227776595,-118.264518611106,"Fib Administration & Operations Building","Heliport",430
"1093",34.0514722223621,-118.243055555688,"Caltrans District 7","Heliport",484
"1094",34.0963983333214,-118.290352777967,"Queen Of Angel-Hollywood Presbyterian Hos","Heliport",524
"1095",34.0397344444311,-118.228406388787,"A T & T Center","Heliport",679
"1096",34.0961205558162,-118.290352777967,"Childrens Hospital Los Angeles","Heliport",500
"1097",33.9286111107863,-118.298888888699,"Los Angeles County Sheriffs Dept South La","Heliport",209
"1098",34.046400833481,-118.262574444829,"International Tower","Heliport",542
"1099",34.0477872224941,-118.445079721805,"Westwood Gateway","Heliport",321
"1100",33.9661230552111,-118.424243611403,"Hughes/Corporate","Heliport",75
"1101",34.0544561110886,-118.265074722166,"Good Samaritan Hospital","Heliport",473
"1102",34.0763888888566,-118.381944444686,"Cedars-Sinai Medical Center","Heliport",334
"1103",34.0361211112663,-118.442023610987,"Raleigh Enterprises","Heliport",200
"1104",34.037234722465,-118.258129721839,"Chase Plaza","Heliport",412
"1105",34.0491786114144,-118.259240277584,"K & T 660 Figueroa Partners","Heliport",629
"1106",34.0330655556206,-118.452579444396,"Westside Towers","Heliport",325
"1107",34.0505674997488,-118.246184999576,"Los Angeles Times-La","Heliport",345
"1108",34.053333333347,-118.239166667077,"Edward Roybal Federal Bldg","Heliport",646
"1109",34.0544444440783,-118.236666666421,"Metropolitan Water District","Heliport",465
"1110",34.2890277781341,-118.471111111091,"Dept Of Water And Power Granada Hills","Heliport",1124
"1111",34.0580555557063,-118.248611111105,"Department Of Water & Power Los Angeles","Heliport",654
"1112",34.0574999997796,-118.208055555489,"Los Angeles County/Usc Medical Center","Heliport",454
"1113",34.0975000003242,-118.28888888877,"Children's Hospital Of Los Angeles Ii","Heliport",529
"1116",34.2336147220901,-118.587031388915,"R I Ai Canoga Park B/2 Helistop","Heliport",900
"1117",34.0608427774964,-118.417579166617,"Century City","Heliport",473
"1118",34.0625102780171,-118.352299166249,"J H Snyder Co Iii","Heliport",559
"1119",33.9583333330211,-118.277222222037,"Randy Champe-Gary Howe Memorial","Heliport",184
"1120",34.2201427778402,-118.532500000416,"Northridge Hospital","Heliport",845
"1121",34.3336111113823,-118.39750000003,"Pacoima Dam","Heliport",2039
"1129",33.9302927779286,-118.20257111071,"St Francis Medical Center Helistop","Heliport",154
"1134",36.8832500002685,-119.801555555677,"Children's Hospital Central California","Heliport",376
"1135",34.0372297222593,-118.68814083363,"Malibu Administrative Center","Heliport",29
"1136",34.0421327776689,-118.853441944593,"Anacapa View Estates","Heliport",625
"1137",34.0619516666085,-118.647029166954,"Camp 8","Heliport",1525
"1138",34.0444516666848,-118.693974999735,"Hughes/Malibu","Heliport",455
"1142",33.9844558336994,-118.450078611002,"The Ritz-Carlton Hotel Company","Heliport",149
"1155",37.3408194446836,-120.466636111403,"Mercy Medical Center Merced","Heliport",194
"1160",33.5605555554334,-117.666388888939,"Mission Hospital Helistop","Heliport",460
"1170",34.2794469443845,-118.902875000393,"Sce Moorpark Substation","Heliport",470
"1171",33.9127777776418,-117.196388888695,"Riverside County Rgnl Medical Center","Heliport",1563
"1175",33.614722222211,-117.169722222518,"Loma Linda Univ Med Ctr-Murrieta","Heliport",1576
"1177",38.3239277781202,-122.297125000168,"Queen Of The Valley Hospital","Heliport",49
"1180",34.1580611110023,-118.917873888621,"Twi Ii","Heliport",1162
"1182",34.3816641665292,-118.41452611097,"Los Angeles County Fire Station Nr 123","Heliport",1805
"1183",34.4386063890211,-118.579253055635,"Sce Pardee Substation Helistop","Heliport",1073
"1184",33.6264102779075,-117.877278888819,"Newport Beach Police","Heliport",156
"1185",33.6241875001271,-117.929502222384,"Hoag Memorial Hospital","Heliport",94
"1188",33.9136252775636,-118.073121389037,"Southeast Superior Court","Heliport",235
"1189",33.9133472221794,-118.069788333008,"Norwalk Sheriff Station","Heliport",101
"1193",37.8362166666046,-122.266736110712,"Children's Hospital Oakland","Heliport",134
"1198",33.1852777777113,-117.291111111415,"Tri-City Hospital","Heliport",260
"1201",34.1566716667209,-119.168439722162,"Majlar","Heliport",2420
"1203",33.7887663889944,-117.89047361141,"Uci Medical Center","Heliport",140
"1204",33.8286272218515,-117.790610278216,"Sce Serrano Substation","Heliport",697
"1205",33.7816833334077,-117.865056667083,"Childrens Hospital Of Orange County","Heliport",275
"1206",37.9213130554478,-122.195521944679,"Sandhill","Heliport",956
"1211",34.2022266663435,-119.202885277677,"Rotor-Aids Maintenance Hangar","Heliport",43
"1212",34.2166713888596,-119.157884166332,"St John's Rgnl Medical Center","Heliport",76
"1213",34.2597247221296,-118.413415277646,"Barton","Heliport",960
"1216",34.5824999999833,-118.14555555526,"Palmdale Medical Center","Heliport",2743
"1221",33.8384444447379,-116.543888889078,"Desert Regional Medical Center","Heliport",560
"1224",37.4354944441821,-122.174964722546,"Stanford University Hospital Center","Heliport",84
"1228",34.2047269442949,-118.170905555336,"Mesa","Heliport",1520
"1229",34.1336466666553,-118.153682500448,"Huntington Memorial Hospital","Heliport",854
"1230",34.1727838887405,-118.170902777745,"Super Bowl","Heliport",960
"1237",33.787935833395,-117.230176111159,"Castle","Heliport",1459
"1239",32.715833333261,-116.450000000209,"Pine Valley Border Patrol Station","Heliport",3275
"1242",38.7685144445978,-120.548814444549,"El Dorado Irrigation District","Heliport",3800
"1250",37.7082627780518,-121.892735277584,"Camp Parks","Heliport",361
"1252",34.0525105553739,-117.793391666254,"Pomona Police Dept","Heliport",1001
"1257",32.9960555557887,-117.055527778136,"Pomerado Hospital","Heliport",653
"1259",39.9832247221173,-120.951065555122,"Quincy Helitack Base","Heliport",3500
"1260",39.9404472221286,-120.959398610667,"Plumas District Hospital","Heliport",3425
"1264",38.6033333335564,-121.263333333678,"Sunrise One","Heliport",100
"1265",33.7640833334562,-116.404916666965,"Eisenhower Medical Center","Heliport",234
"1268",33.613355833354,-117.59115916645,"Lyon","Heliport",898
"1274",40.5720949997466,-122.395008610867,"Mercy Medical Center","Heliport",715
"1275",40.5220961110328,-122.303615832949,"American Display","Heliport",503
"1276",40.5982222223688,-122.332333333157,"The Mcconnell Foundation","Heliport",643
"1285",35.6410666668481,-117.671452777536,"Ridgecrest Community Hospital","Heliport",2290
"1286",35.6146783336229,-117.668674167089,"Sce Ridgecrest Service Center","Heliport",2288
"1294",34.0080702774148,-117.335183055735,"Johnson","Heliport",904
"1295",33.9791816663873,-117.375044999662,"City Hall","Heliport",977
"1296",33.9825150000119,-117.375878055934,"Riverside Metro Center","Heliport",950
"1299",33.9774166668642,-117.38169444438,"Riverside Community Hospital","Heliport",853
"1301",33.7411313888027,-117.151143333185,"Sce San Jacinto Valley Service Center","Heliport",1482
"1305",34.0511216668658,-118.081734722544,"Sce Rosemead","Heliport",229
"1306",34.0522327775574,-118.080623610742,"Robert D Cloud","Heliport",312
"1310",38.4618541663955,-122.414700833535,"River Meadow Farm","Heliport",146
"1311",38.5548702779277,-121.455436111436,"Uc Davis Medical Center Tower Ii","Heliport",236
"1312",38.5980777778219,-121.488299999637,"California Highway Patrol Hq","Heliport",198
"1313",38.4697222222959,-121.420555555728,"Kaiser Permanente South Sacramento","Heliport",28
"1315",38.5476841663265,-121.379674166785,"Lake Park Helistop","Heliport",45
"1320",38.5484999998908,-122.510730555947,"Napa County Fire Dept","Heliport",308
"1322",36.6977361107818,-121.650502778066,"Natividad Medical Center","Heliport",70
"1325",38.1905555552247,-120.669166666828,"Mark Twain St Joseph's Hospital","Heliport",1033
"1327",35.9566319442039,-120.869624444177,"Texaco - San Ardo","Heliport",449
"1328",34.1055666663321,-117.351711388617,"Sce Eastern Division","Heliport",1205
"1329",34.1033449999543,-117.271986388648,"County Headquarters Bldg","Heliport",1040
"1331",34.2880555552307,-119.168994444426,"Sce Northern Division","Heliport",273
"1334",33.3794738885539,-117.559767777798,"Sce Songs Mesa","Heliport",100
"1336",32.7250511112413,-117.144754722396,"U S Naval Hospital San Diego","Heliport",200
"1337",32.7991666670072,-117.151666666517,"Rady Childrens Hospital - San Diego","Heliport",445
"1340",32.7197738885503,-117.097530833187,"Kgtv-10 Parking Lot","Heliport",200
"1341",32.7511613892664,-117.16031055532,"Scripps Mercy Hospital","Heliport",330
"1342",32.7153291664261,-117.150587778183,"San Diego Police Headquarters","Heliport",162
"1343",32.8956944440753,-117.196083333039,"Qualcomm Building N","Heliport",486
"1344",32.7994444447879,-117.153333333322,"Sharp Mem Hospital","Heliport",460
"1347",32.754158333185,-117.165522222171,"Ucsd Medical Center Hillcrest","Heliport",403
"1350",34.1044533333895,-117.79978111068,"William Archibald","Heliport",984
"1351",34.2797238886925,-118.461473055865,"Holy Cross Medical Center","Heliport",1031
"1352",34.3124999998668,-118.4744444447,"Spears","Heliport",1314
"1353",37.7193763886774,-122.498861389186,"Police Pistol Range","Heliport",24
"1354",37.7749291664078,-122.405248888574,"Hall Of Justice","Heliport",118
"1355",37.8257583336614,-122.421358333445,"Alcatraz","Heliport",70
"1356",37.7833305553123,-122.506388888585,"San Francisco Va Medical Center","Heliport",350
"1358",37.8107613887372,-122.4146933335,"Commodore","Heliport",10
"1359",37.7655555553637,-122.390555556002,"Ucsf Medical Center At Mission Bay","Heliport",156
"1360",36.7321725001615,-119.554576388739,"Sanger","Heliport",374
"1363",37.3141666666058,-121.934166666348,"County Medical Center","Heliport",148
"1364",37.3614638890824,-121.848502777374,"Regional Medical Center San Jose H2","Heliport",120
"1368",33.1419444445258,-117.1455555552,"Pat Coyle Memorial","Heliport",600
"1371",37.9540902780094,-122.337192500191,"Doctors Medical Center","Heliport",85
"1372",33.7491850003735,-118.274793055338,"Catalina Air-Sea Terminal","Heliport",5
"1373",33.7321019444422,-118.276043055666,"Ports O'call","Heliport",2
"1375",37.9465908333625,-122.487195833669,"San Rafel Private","Heliport",5
"1377",33.7308513892232,-117.847277777817,"Sce Southeastern Division","Heliport",97
"1378",33.7475172225006,-117.87727833366,"Orange Co Sheriffs Forensics Lab Helistop","Heliport",223
"1379",33.7544444446589,-117.831944444113,"Western Medical Center Santa Ana","Heliport",178
"1380",33.7270722225057,-117.836247222509,"Honda Of Santa Ana","Heliport",113
"1385",34.3907141668201,-120.121504722226,"Platform Ocs P-0188 Hondo","Heliport",142
"1386",34.4300000000314,-119.724166666825,"Santa Barbara Cottage Hospital","Heliport",201
"1387",37.3854961110007,-121.972458888758,"Mc Candless Towers","Heliport",201
"1389",36.9906527778628,-121.9824666663,"Dominican Santa Cruz Hospital","Heliport",118
"1391",34.950555555502,-120.411666666642,"Marian Medical Center","Heliport",256
"1395",38.4438005554277,-122.701375555747,"Santa Rosa Memorial Hospital","Heliport",208
"1403",34.5661008331757,-118.476749444464,"Camp 14","Heliport",1870
"1404",37.8790930553879,-122.513585000373,"Commodore Center","Heliport",2
"1412",37.1180025002968,-119.305125277329,"Sce Tiffany Pines","Heliport",5548
"1413",37.1638352780013,-119.29151388916,"Sce Shaver Summit","Heliport",5755
"1415",34.1600058332759,-118.449525833591,"Sherman Oaks Hospital","Heliport",697
"1418",34.2377813886178,-118.696201388826,"Boeing Santa Susana","Heliport",1800
"1419",34.2819444442892,-118.655361111283,"Hummingbird Nest","Heliport",1411
"1422",36.4671861110659,-121.370210277825,"Correctional Training Facility","Heliport",180
"1424",38.1582333335148,-122.456316667087,"Sonoma Pad 1","Heliport",115
"1425",38.1550805556071,-122.45069166651,"Infineon Raceway Pad 2","Heliport",110
"1427",33.5616913890233,-117.715607777392,"G S A Laguna Niguel G/L Helistop","Heliport",188
"1429",38.911305555888,-119.996833333585,"Barton Memorial Hospital","Heliport",6298
"1434",37.887703055297,-121.284944722509,"San Joaquin General Hospital","Heliport",15
"1435",38.0472222224842,-121.370361111249,"A G Spanos Companies Hq","Heliport",96
"1443",34.2894455556762,-118.288132500114,"Camp 15","Heliport",1520
"1445",40.437777777465,-120.627777777361,"Banner Lassen Medical Center","Heliport",4419
"1447",34.3268000000882,-118.444999999917,"Olive View Medical Center","Heliport",1460
"1448",35.1388558335565,-119.450951944199,"West Side Hospital","Heliport",850
"1454",33.4997000003742,-117.04132222178,"Blackwater","Heliport",1195
"1455",35.5549713888845,-120.719338333625,"Twin Cities Community Hospital","Heliport",851
"1458",34.0833400001783,-118.867593611015,"Los Angeles County Fire Department","Heliport",1360
"1459",34.2066666663099,-118.88333333357,"Los Robles Rgnl Medical Center","Heliport",760
"1460",34.2466705553257,-118.83537222216,"East Valley Sheriff's Station","Heliport",917
"1461",36.4957791669055,-118.834265277643,"Ash Mountain","Heliport",1820
"1463",33.8564027777338,-118.312572222041,"Toyota Helistop","Heliport",60
"1470",39.3240727779276,-120.200198333179,"Tahoe Forest Hospital","Heliport",5200
"1471",36.1821733336097,-119.333726111535,"Sce San Joaquin","Heliport",279
"1475",37.5125650001939,-120.839232833724,"Emanuel Medical Center","Heliport",174
"1484",39.1526527778156,-123.203444444149,"Ukiah Valley Medical Center","Heliport",608
"1486",34.1024999998177,-117.636388889153,"San Antonio Community Hospital","Heliport",1274
"1489",38.3557438887775,-121.951354444394,"Vaca Valley Hospital","Heliport",110
"1491",34.4666608336539,-118.59536444446,"Sheriff's Wayside","Heliport",1200
"1492",34.4161072220134,-118.55175222197,"Sheriff's Station","Heliport",1200
"1494",33.2342033332658,-116.967528055624,"Hoag","Heliport",1650
"1496",34.0350000002038,-118.266111111204,"Maguire-California Hospital","Heliport",376
"1497",34.2747222223089,-119.256944444289,"Community Memorial Hospital","Heliport",175
"1498",34.0009861108702,-118.212849444647,"Sfi-Vernon","Heliport",231
"1501",34.4769422222283,-117.288656110965,"Sce High Desert District","Heliport",2974
